Alarm_ID,,Alarm_Name_EN,Alarm_Name_TH,Data_Field_1,Data_Field_2,Data_Field_3,Data_Field_4,Data_Field_5,LED_Color,Motor_Control
22,Sensor & Vision,IMU Error,เซนเซอร์IMU Error,Timestamp,IMU_Status_Code,Acceleration_X,Acceleration_Y,Acceleration_Z,RED,STOPPED
23,Sensor & Vision,Proximity Sensor Fault,เซนเซอร์ Proximity Senso Error,Timestamp,Sensor_Status,Lift_Dolly_Proximity,Distance_Reading,,RED,STOPPED
24,IO / Electrical Alarm,IO Module Offline,โมดูล IO ออฟไลน์,Timestamp,Module_ID,Connection_Status,Last_Heartbeat,,RED,STOPPED
25,IO / Electrical Alarm,Encoder Power Lost,Encoder Power Lost,Timestamp,Motor_ID,Power_Status,Drive_Motor_Feedback,,RED,STOPPED
26,Task / Mission,Lifter Failed,Lifter ยกงานไม่ได้,Timestamp,Lift_Auto_Check_Result,Current_Height,Motor_Status,,RED,STOPPED
27,Software & Controller,Disk Full,ดิสก์เต็ม,Timestamp,Disk_Usage_Percent,Available_Space_GB,Partition_Info,,RED,STOPPED
28,Software & Controller,Parameter Out of Range,พารามิเตอร์เกินควบคุม,Timestamp,Parameter_Name,Current_Value,Valid_Range,,RED,STOPPED
29,Software & Controller,CPU Overload,CPUOverload,Timestamp,CPU_Usage_Percent,Load_Average,Temperature_C,,RED,STOPPED
30,Software & Controller,Unexpected Reboot,ระบบรีสตาร์ทผิดปกติ,Timestamp,Reboot_Reason,PC_Shutdown_Log,Last_Boot_Log,,RED,STOPPED
31,Maintenance & Warning,Preventive Maintenance Due,ถึงกำหนดบำรุงรักษา,Timestamp,Maintenance_Schedule,Days_Remaining,Operator_Info,,YELLOW,RUNNING
32,Maintenance & Warning,Battery Lifetime Warning,ถึงกำหนดเปลี่ยนแบต,Timestamp,Charge_Cycle_Count,Total_Cycles_Limit,Percent_Lifetime_Used,,YELLOW,RUNNING
33,Maintenance & Warning,Motor Lifetime Warning,ถึงกำหนดเปลี่ยนมอเตอร์,Timestamp,Runtime_Hours,Total_Hour_Limit,Request_Status,,YELLOW,RUNNING
34,Maintenance & Warning,Repeated Same Alarm,เกิด Alarm เดิมซ้ำบ่อย,Timestamp,Alarm_ID,Occurrence_Count,Time_Period_Day,Threshold_10_Per_Day,YELLOW,RUNNING
